BEOGRAD;Prolece;28.05.2022,18:45;18;203.319.741;446.300.043;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Prolece;28.05.2022,20:30;20;2.043.023;4.461.139;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Prolece;29.05.2022,17:00;17;20.369.248;44.622.497;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Leto;03.06.2022,14:45;14;204.126.691;445.773.203;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;03.06.2022,06:25;06;20.413.005;44.607.276;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Leto;07.06.2022,07:00;07;20.415.645;44.588.367;Sa povredjenim;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;07.06.2022,15:45;15;20.417.398;44.576.705;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;08.06.2022,00:05;00;20.354.038;4.463.163;Sa povredjenim;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;13.06.2022,07:00;07;20.419.367;44.571.157;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;13.06.2022,04:45;04;20.304.619;44.570.687;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;19.06.2022,07:00;07;20.368.194;44.621.188;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA
BEOGRAD;Leto;19.06.2022,07:30;07;20.455.798;44.639.609;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;19.06.2022,20:05;20;20.371.377;44.624.386;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Leto;23.06.2022,17:05;17;203.521.286;445.407.466;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;05.07.2022,18:00;18;204.134;4.459.435;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;05.07.2022,18:30;18;2.039.309;4.458.255;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;05.07.2022,11:00;11;20.371.908;44.624.484;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA
BEOGRAD;Leto;05.07.2022,13:20;13;20.367.277;44.620.208;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;06.07.2022,21:30;21;20.409.967;44.627.151;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;06.07.2022,20:55;20;20.392.662;44.555.046;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Leto;06.07.2022,23:37;23;2.043.548;4.456.172;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;09.07.2022,19:15;19;2.039.214;4.458.247;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA
BEOGRAD;Leto;10.07.2022,17:45;17;20.381.971;44.633.262;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Leto;10.07.2022,11:00;11;20.429.398;4.462.518;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;15.07.2022,16:05;16;20.395.712;44.518.797;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;15.07.2022,19:00;19;20.404.362;44.572.907;Sa povredjenim;SN SA PARKIRANIM VOZILIMA
BEOGRAD;Leto;21.07.2022,16:50;16;20.416.462;44.581.765;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Leto;21.07.2022,20:30;20;2.034.264;4.458.851;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;22.07.2022,13:00;13;20.428.103;44.571.748;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;23.07.2022,17:00;17;20.413.498;44.603.862;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;30.07.2022,19:00;19;2.041.338;4.457.979;Sa povredjenim;SN SA PEŠACIMA
BEOGRAD;Leto;01.08.2022,11:30;11;20.408.121;44.633.379;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Leto;07.08.2022,20:15;20;2.043.312;4.456.804;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;10.08.2022,08:25;08;20.319.979;44.621.532;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;19.08.2022,00:45;00;20.305.606;44.571.722;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;19.08.2022,18:30;18;2.041.882;4.449.789;Sa povredjenim;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;20.08.2022,12:10;12;20.406.939;44.630.397;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;23.08.2022,20:00;20;20.431.422;44.598.546;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;26.08.2022,19:10;19;2.036.987;4.460.413;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;28.08.2022,01:50;01;20.418.273;44.561.787;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;28.08.2022,12:30;12;20.337.187;44.585.108;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Leto;29.08.2022,13:55;13;2.041.379;44.580.035;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA
BEOGRAD;Leto;30.08.2022,16:30;16;20.334.179;44.599.908;Sa povredjenim;SN SA PEŠACIMA
BEOGRAD;Leto;30.08.2022,12:00;12;20.369.887;44.603.869;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Leto;31.08.2022,20:30;20;2.032.183;4.457.958;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Leto;31.08.2022,18:20;18;20.418.121;44.569.126;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;04.09.2022,12:50;12;2.037.283;4.458.266;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;06.09.2022,10:50;10;2.034.859;4.463.406;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;06.09.2022,14:30;14;20.412.144;44.636.887;Sa povredjenim;SN SA PEŠACIMA
BEOGRAD;Jesen;06.09.2022,23:00;23;20.347.881;44.542.171;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Jesen;08.09.2022,00:05;00;2.029.607;4.460.726;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Jesen;12.09.2022,06:40;06;20.412.239;44.638.285;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;13.09.2022,06:50;06;2.042.828;4.457.181;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA
BEOGRAD;Jesen;14.09.2022,09:15;09;20.416.049;44.581.441;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;17.09.2022,14:50;14;2.040.868;4.463.398;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;19.09.2022,02:40;02;20.344.609;44.602.521;Sa mat.stetom;SN SA JEDNIM VOZILOM
BEOGRAD;Jesen;21.09.2022,02:40;02;20.363.716;44.616.136;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK
BEOGRAD;Jesen;21.09.2022,16:40;16;20.372.958;44.625.357;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;25.09.2022,13:00;13;20.416.706;44.577.305;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;30.09.2022,09:30;09;2.034.859;4.463.406;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA
BEOGRAD;Jesen;04.10.2022,19:00;19;203.013.071;445.669.575;Sa povredjenim;SN SA PEŠACIMA
